Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
11	NCT03021031	Circuit-Based Deep Brain Stimulation for Parkinson's Disease; Udall Clinical Core		Enrolling by invitation	No Results Available	Parkinson Disease	Other: Observational	Registry	University of Minnesota	All	21 Years and older   (Adult, Older Adult)		60	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	NEURO-2016-25066	September 19, 2017	July 1, 2026	January 2027	January 13, 2017		May 3, 2023	University of Minnesota, Minneapolis, Minnesota, United States		https://ClinicalTrials.gov/show/NCT03021031
12	NCT04431700	Study of Dietary Composition in Crohn's Disease	CD	Recruiting	No Results Available	Inflammatory Bowel Diseases|Crohn Disease	Other: Anti-inflammatory diet|Other: Regular diet	Efficacy of the anti-inflammatory whole food diet for the induction of remission in Crohn's Disease	University of California, Los Angeles	All	18 Years to 75 Years   (Adult, Older Adult)	Not Applicable	116	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention	20-001120	October 5, 2020	January 31, 2025	May 1, 2025	June 16, 2020		May 6, 2023	UCLA Center for Human Nutrition, 1000 Veteran Ave., Los Angeles, California, United States		https://ClinicalTrials.gov/show/NCT04431700
13	NCT01767818	Parkinson's Disease Biomarker Program	PDBP	Completed	No Results Available	Parkinson's Disease		To estimate the mean rates of change and the variability around the mean of clinical outcomes in PD patients over 3-5 years of follow-up comparing these rates between PD patients of each stage of the Hoehn and Yahr.|To determine the predictive value of iTUG/iSWAY test results on future course of the disease	University of Texas Southwestern Medical Center|National Institute of Neurological Disorders and Stroke (NINDS)	All	30 Years and older   (Adult, Older Adult)		238	Other|NIH	Observational	Observational Model: Cohort|Time Perspective: Prospective	NS-12-011|1U01NS082148-01	November 2012	September 30, 2017	September 30, 2017	January 14, 2013		May 7, 2018	UT Southwestern Medical Center, Dallas, Texas, United States		https://ClinicalTrials.gov/show/NCT01767818
14	NCT05103280	Improving Walking in Peripheral Artery Disease	PAD	Recruiting	No Results Available	Peripheral Artery Disease	Other: Assistive tennis shoes	Changes in walking distance after three-months intervention|Comfort level of wearing assistive shoe expressed as a numeric value and this value will be rated by participants|Changes in vertical ground reaction force after three-months intervention|Changes in muscle oxygenation after three-months intervention|Changes in physical activity after three-months intervention|Changes in Walking Impairment Questionnaire score after three-months intervention	VA Office of Research and Development|University of Nebraska	All	40 Years and older   (Adult, Older Adult)	Not Applicable	20	U.S. Fed|Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	F3877-P|I21RX003877	October 1, 2021	September 30, 2023	September 30, 2023	November 2, 2021		November 15, 2022	Omaha VA Nebraska-Western Iowa Health Care System, Omaha, NE, Omaha, Nebraska, United States		https://ClinicalTrials.gov/show/NCT05103280
15	NCT03078192	Non-Invasive Diagnosis of Pulmonary Vascular Disease Using Inhaled 129Xe Magnetic Resonance Imaging	XenonMRI	Completed	Has Results	Pulmonary Vascular Disease	Drug: GE-141, Hyperpolarized 129Xenon gas|Device: MRI	Participants Determined to be True Positives for Pulmonary Arterial Hypertension	Bastiaan Driehuys|National Heart, Lung, and Blood Institute (NHLBI)|Duke University	All	18 Years and older   (Adult, Older Adult)	Phase 2	62	Other|NIH	Interventional	Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Diagnostic	Pro00079617|HHSN268201700001C	May 3, 2017	October 22, 2020	October 22, 2020	March 13, 2017	February 22, 2022	February 22, 2022	Duke University Medical Center, Durham, North Carolina, United States	"Study Protocol and Statistical Analysis Plan", https://classic.clinicaltrials.gov/ProvidedDocs/92/NCT03078192/Prot_SAP_000.pdf|"Informed Consent Form", https://classic.clinicaltrials.gov/ProvidedDocs/92/NCT03078192/ICF_001.pdf	https://ClinicalTrials.gov/show/NCT03078192
16	NCT00695591	Home Sleep Testing in Neuromuscular Disease Patients	HSTNMD	Completed	No Results Available	Neuromuscular Disease	Other: Evaluation for Nocturnal non invasive ventilation	1. End tidal CO2 catheter is tolerated for six hours or more|1. Interpretable data are captured for oximetry, heart rate, and end-tidal CO2|2. An interpretive report is generated that will guide the non-pulmonary physician in potential interventions|2. Patients and parents are able to apply the monitors at home and a six hour data set is collected	Landon Pediatric Foundation	All	8 Years to 50 Years   (Child, Adult)		9	Other	Observational	Observational Model: Case-Only|Time Perspective: Prospective	LS01	July 2008	September 2008	July 2009	June 12, 2008		August 13, 2014	Pediatric Diagnostic Center, Ventura, California, United States		https://ClinicalTrials.gov/show/NCT00695591
17	NCT00513903	Expanding the Role of Pharmacists in Treating Persons With Cardiovascular or Lung Diseases	IowaCOC	Completed	No Results Available	Cardiovascular Diseases|Lung Diseases	Behavioral: Minimal intervention|Behavioral: Enhanced Intervention	ADEs|Medication appropriateness|Complications related to medications, including the number of hospital readmissions, unscheduled visits to emergency departments or urgent care facilities, and physician visits related to a medication problem or ADE|Cost-effectiveness of the minimal or enhanced treatment compared to usual care|Number of medications|Complete medication list|Community physician and pharmacist surveys|Medication adherence|Barriers to patient adherence	University of Iowa|National Heart, Lung, and Blood Institute (NHLBI)	All	18 Years and older   (Adult, Older Adult)	Phase 3	954	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention	498|R01HL082711|R01HL082711-01A2	March 2008	July 2012	October 2012	August 9, 2007		August 19, 2014	The University of Iowa, Iowa City, Iowa, United States		https://ClinicalTrials.gov/show/NCT00513903
18	NCT02709148	State-dependent Pathophysiological Oscillations in Parkinson's Disease and Treatment With Deep Brain Stimulation (DBS)		Completed	No Results Available	Parkinson's Disease	Device: Activa PC+S	Cortical and sub-cortical brain signals using Activa PC+S	University of Minnesota	All	45 Years to 75 Years   (Adult, Older Adult)	Phase 1	1	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science	NEURO-2016-24512	July 20, 2017	July 31, 2019	July 31, 2020	March 15, 2016		January 13, 2021	University of Minnesota, Minneapolis, Minnesota, United States		https://ClinicalTrials.gov/show/NCT02709148
19	NCT04515550	Mitochondrial Biomarkers in Huntington's Disease		Completed	No Results Available	Huntington Disease	Diagnostic Test: lumbar puncture	Change in Unified Huntington Disease Rating Scale (UHDRS) and UHDRS sub-sections|Change in Montreal Cognitive Assessment (MoCA)	University Hospitals Cleveland Medical Center|Case Western Reserve University|National Institute of Neurological Disorders and Stroke (NINDS)|The Cleveland Clinic	All	20 Years to 85 Years   (Adult, Older Adult)		27	Other|NIH	Observational	Observational Model: Cohort|Time Perspective: Prospective	20181082|1R21NS107897-01A1	April 4, 2019	February 28, 2022	February 28, 2022	August 17, 2020		April 12, 2022	University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States		https://ClinicalTrials.gov/show/NCT04515550
20	NCT01659762	A Phase I Study Evaluating Autologous Bone Marrow Derived Mesenchymal Stromal for Crohn's Disease.	EPIC/MSC/IBD	Completed	No Results Available	Crohn's Disease	Biological: autologous mesenchymal stromal cell	Number of adverse events|Crohn's disease activity Index (CDAI)	Emory University|Atlanta Clinical and Translational Science Institute	All	18 Years to 65 Years   (Adult, Older Adult)	Phase 1	16	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	IRB00051454|EPIC001	July 2012	July 2015		August 8, 2012		October 17, 2016	Emory University, Atlanta, Georgia, United States		https://ClinicalTrials.gov/show/NCT01659762
21	NCT01001585	Anesthetic Effects in Mitochondrial Disease		Terminated	No Results Available	Mitochondrial Disease	Drug: sevoflurane	Measure cardiovascular stability and electrical brain activity during slow induction with sevoflurane.|Use cardiovascular and electrical brain measurements to limit amount of sevoflurane and predict individual sensitivity.	d sessler|The Cleveland Clinic	All	12 Months to 16 Years   (Child)	Not Applicable	55	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: Double (Care Provider, Investigator)|Primary Purpose: Supportive Care	06-644	September 2006	September 2011	October 2011	October 26, 2009		March 9, 2015	Cleveland Clinic, Cleveland, Ohio, United States		https://ClinicalTrials.gov/show/NCT01001585
22	NCT02134795	A Pilot Study of a Non-Invasive Neuromodulation Device for Treatment of Parkinson's Disease		Completed	No Results Available	Parkinson's Disease	Device: TNM (trade name), a form of brainstem Stimulation	Motor UPDRS score (Unified Parkinson's Disease Rating Scale)|EKG to record beat-to-beat (R-R) interval data	Scion NeuroStim	All	18 Years and older   (Adult, Older Adult)	Not Applicable	6	Industry	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	SNS-PD-01	May 2014	September 2014	September 2014	May 9, 2014		December 22, 2016	Duke University Health System, Durham, North Carolina, United States		https://ClinicalTrials.gov/show/NCT02134795
23	NCT03190837	A Long-term Follow-up Study of Gaucher Disease		Recruiting	No Results Available	Gaucher Disease		Document effects of Gaucher disease in different systems of body, including nervous system, liver, and spleen.|Document adverse events subjects experience on enzyme replacement therapy|Document adverse events of subjects on substrate reduction therapy|Document long-term complications in Gaucher Disease.|Change in 36-Item Short Form Survey (SF-36) collected every 6 months/1 year.|Change in Small Fiber Neuropathy Screening List (SFNSL) collected every 6 months/1 year.|Document number of subjects experiencing neurological symptoms related to Gaucher, by using Neurological Follow-up exam|Change in Parkinson's checklist collected every 6 months/1 year.	Duke University	All	Child, Adult, Older Adult		200	Other	Observational	Observational Model: Other|Time Perspective: Prospective	Pro00081246	June 12, 2017	January 2027	January 2027	June 19, 2017		October 10, 2022	Duke University Medical Center, Durham, North Carolina, United States		https://ClinicalTrials.gov/show/NCT03190837
24	NCT00320151	Collection of Blood for Gene Expression Study in Individuals With Chronic Lung Diseases		Completed	No Results Available	Pulmonary Diseases			Weill Medical College of Cornell University	All	18 Years to 90 Years   (Adult, Older Adult)		3087	Other	Observational	Observational Model: Other|Time Perspective: Other	Blood Collection Protocol	April 2006	August 2015	August 2015	May 3, 2006		May 24, 2017	Weill Medical College of Cornell University, New York, New York, United States		https://ClinicalTrials.gov/show/NCT00320151
25	NCT02717442	Study of OTO-104 in Subjects With Unilateral Meniere's Disease	AVERTS-2	Terminated	Has Results	Meniere's Disease	Drug: OTO-104|Drug: Placebo	The Number of DVD at Week 12 (the 4-week [28 Days] Interval From Week 9 Through Week 12) - FAS-1 Population|The Number of DVD at Week 12 (the 4-week [28 Days] Interval From Week 9 Through Week 12) - FAS-2 Population|Effect of Vertigo on Daily Activities - Number of Days Sick at Home or Bedridden at Week 12 (Month 3): FAS-1|Effect of Vertigo on Daily Activities - Number of Days Sick at Home or Bedridden at Week 12 (Month 3): FAS-2|Otoscopic Examination - Tympanic Membrane Perforation at Week 12 (Month 3)|Audiometry - Shift in Air-Bone Gap at 500 Hz From Baseline to Week 12 (Month 3)|Audiometry - Shift in Air-Bone Gap at 1000 Hz From Baseline to Week 12 (Month 3)|Audiometry - Shift in Air-Bone Gap at 2000 Hz From Baseline to Week 12 (Month 3)	Otonomy, Inc.	All	18 Years to 85 Years   (Adult, Older Adult)	Phase 3	176	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	104-201508	March 21, 2016	August 31, 2017	September 15, 2017	March 23, 2016	January 13, 2023	January 13, 2023	Many sites in Europe. Refer to the contact info listed below., San Diego, California, United States	"Study Protocol and Statistical Analysis Plan", https://classic.clinicaltrials.gov/ProvidedDocs/42/NCT02717442/Prot_SAP_000.pdf	https://ClinicalTrials.gov/show/NCT02717442
26	NCT03811496	Biomarker Analysis for GBA Associated Parkinson's Disease		Unknown status	No Results Available	Parkinson Disease|Gaucher Disease		Gene expression levels of SNCA|Gene expression levels of LRRK2|Gene expression levels of Parkin|Protein expression levels of alpha-synuclein|Protein expression levels of LRRK2|Protein expression levels of Parkin	Lysosomal and Rare Disorders Research and Treatment Center, Inc.	All	50 Years and older   (Adult, Older Adult)		100	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	18-LDRTC-01	February 1, 2018	February 2020	July 2020	January 22, 2019		January 23, 2019	LDRTC, Fairfax, Virginia, United States		https://ClinicalTrials.gov/show/NCT03811496
27	NCT02548897	Uncovering an Electrical Biomarker for Freezing of Gait in Parkinson's Disease		Completed	No Results Available	Parkinson's Disease	Device: Deep brain stimulation|Other: Electroencephalography	Number of freezing of gait events	University of Florida	All	30 Years to 75 Years   (Adult, Older Adult)	Not Applicable	5	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Device Feasibility	IRB201500458	October 2015	August 15, 2017	August 15, 2017	September 14, 2015		September 25, 2017	University of Florida, Gainesville, Florida, United States		https://ClinicalTrials.gov/show/NCT02548897
28	NCT02612337	Study of OTO-104 in Subjects With Unilateral Meniere's Disease	AVERTS-1	Completed	Has Results	Meniere's Disease	Drug: OTO-104|Drug: Placebo	The Number of DVD at Week 12 (Defined as the 4-week [28 Days] Interval From Week 9 Through Week 12).|Effect of Vertigo on Daily Activities - Number of Days Sick at Home or Bedridden at Week 12 (Month 3)|Otoscopic Examination - Tympanic Membrane Perforation at Week 12 (Month 3)|Audiometry - Shift in Air-Bone Gap at 500 Hz From Baseline to Week 12 (Month 3)|Audiometry - Shift in Air-Bone Gap at 1000 Hz From Baseline to Week 12 (Month 3)|Audiometry - Shift in Air-Bone Gap at 2000 Hz From Baseline to Week 12 (Month 3)	Otonomy, Inc.	All	18 Years to 85 Years   (Adult, Older Adult)	Phase 3	166	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	104-201506	October 27, 2015	July 18, 2017	July 18, 2017	November 23, 2015	January 12, 2023	January 12, 2023	Many sites in US. Refer to the contact info listed below., San Diego, California, United States	"Study Protocol and Statistical Analysis Plan", https://classic.clinicaltrials.gov/ProvidedDocs/37/NCT02612337/Prot_SAP_000.pdf	https://ClinicalTrials.gov/show/NCT02612337
29	NCT04930666	BREATHE ALD: A Shared Decision-Making Intervention for Adults With Advanced Lung Disease	BREATHE-ALD	Recruiting	No Results Available	Pulmonary Disease, Chronic Obstructive|Lung Diseases, Interstitial	Other: BRief intervention to Enhance Adherence to Treatment and HEalth advice in Advanced Lung Disease	Number of qualitative interviews completed in the development phase|Ratio of participants who completed the intervention to the number of participants consented|Mean mMRC (Modified Medical Research Council) Dyspnea Scale|Mean St. George's Respiratory Questionnaire|Mean PROMIS Pain Intensity - Short Form V10 3a|Mean PROMIS Fatigue - Short Form 6a|Mean Short Form 36|Mean Shared Decision Making Questionnaire	Columbia University|Weill Medical College of Cornell University|National Institute of Nursing Research (NINR)	All	18 Years and older   (Adult, Older Adult)		60	Other|NIH	Observational	Observational Model: Other|Time Perspective: Cross-Sectional	AAAT2217|P20NR018072	November 10, 2021	December 2023	December 2023	June 18, 2021		April 14, 2023	Weill Cornell Medical Center, New York, New York, United States		https://ClinicalTrials.gov/show/NCT04930666
30	NCT02975193	Neural Correlates of Cognition in Parkinson's Disease		Completed	No Results Available	Parkinson Disease	Behavioral: Computer task assessing cognition|Behavioral: Impulsive-Compulsive Disorders in Parkinson's Disease|Procedure: Deep Brain Stimulation Surgery	Change in behavioral performance|Change in Score on Questionnaire for Impulsive-Compulsive Disorders in Parkinson's Disease - Rating Scale (QUIP-RS)|Local field potential brain signal	University of Florida|National Institute of Neurological Disorders and Stroke (NINDS)	All	18 Years to 90 Years   (Adult, Older Adult)	Not Applicable	64	Other|NIH	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science	IRB201601780|F30NS111841	February 1, 2017	October 25, 2020	October 25, 2020	November 29, 2016		February 15, 2021	University of Florida, Gainesville, Florida, United States		https://ClinicalTrials.gov/show/NCT02975193
