SNOMEDCT	fsn	name
308734009	Structure of artery of trunk (body structure)	Artery of trunk
362937008	Structure of viscus (body structure)	Structure of viscus
29704000	Structure of parenchyma of kidney (body structure)	Structure of parenchyma of kidney
39499005	Structure of artery of thorax AND/OR abdomen (body structure)	Structure of artery of thorax AND/OR abdomen
19787009	Lower urinary tract structure (body structure)	Lower urinary tract structure
20795001	Structure of skin region (body structure)	Structure of skin region
11527006	Arterial system structure (body structure)	Arterial system structure
85756007	Body tissue structure (body structure)	Body tissue structure
85293002	Structure of interstitial tissue (body structure)	Interstitial tissue
69536005	Head structure (body structure)	Head structure
10200004	Liver structure (body structure)	Liver structure
714320002	Structure of urogenital organ (body structure)	Structure of urogenital organ
3711007	Structure of great blood vessel (organ) (body structure)	Structure of great blood vessel (organ)
417437006	Neck and/or chest structure (body structure)	Neck and chest
74861003	Structure of cortical lobule of kidney (body structure)	Structure of cortical lobule of kidney
123850002	Head part (body structure)	Head part
310787001	Structure of lung and/or mediastinum (body structure)	Structure of lung and/or mediastinum
128262006	Upper body structure (body structure)	Upper body structure
91772007	Structure of organ parenchyma (body structure)	Organ parenchyma
420473002	Structure of subregion of trunk (body structure)	Structure of subregion of trunk
609617007	Structure of pelvic segment of trunk (body structure)	Structure of pelvic segment of trunk
400199006	Structure of skin and/or surface epithelium (body structure)	Structure of skin and/or surface epithelium
306955007	Vascular structure of trunk (body structure)	Vascular structure of trunk
281904003	Structure of urinary tract in pelvic cavity (body structure)	Structure of urinary tract in pelvic cavity
50235001	Structure of interstitial tissue of kidney (body structure)	Structure of interstitial tissue of kidney
51185008	Thoracic structure (body structure)	Thoracic structure
281501002	Intra-abdominal digestive structure (body structure)	Intra-abdominal digestive structure
424873002	Structure of apocrine sweat gland bearing skin (body structure)	Structure of apocrine sweat gland bearing skin
281158006	Structure of pulmonary blood vessel (body structure)	Structure of pulmonary blood vessel
699602007	Structure of organ within abdomen proper cavity (body structure)	Structure of organ within abdomen proper cavity
699589007	Structure of anatomical cluster (body structure)	Structure of anatomical cluster
64033007	Kidney structure (body structure)	Kidney structure
59183004	Lower genitourinary tract structure (body structure)	Lower genitourinary tract structure
51840005	Systemic circulatory system structure (body structure)	Systemic circulatory system structure
49596003	Digestive organ structure (body structure)	Digestive organ structure
281233007	Cardiovascular structure of trunk (body structure)	Cardiovascular structure of trunk
846601002	Structure of blood vessel of thoracic cross-sectional segment of trunk (body structure)	Structure of blood vessel of thoracic cross-sectional segment of trunk
442083009	Anatomical or acquired body structure (body structure)	Anatomical or acquired body structure
480000	Cardiopulmonary circulatory system structure (body structure)	Cardiopulmonary circulatory system structure
774007	Structure of head and/or neck (body structure)	Structure of head and/or neck
118973005	Entire subdivision of genitourinary system (body structure)	Entire subdivision of genitourinary system
816094009	Structure of thoracic cross-sectional segment of trunk (body structure)	Cross-sectional thorax
818986006	Structure of abdominopelvic cavity and/or content (body structure)	Intra-abdominopelvic structure
54018001	Nephron structure (body structure)	Nephron structure
303270005	Liver and/or biliary structure (body structure)	Liver and/or biliary structure
816092008	Structure of pelvic cross-sectional segment of trunk (body structure)	Cross-sectional pelvis
80266002	Structure of true pelvis (body structure)	True pelvis
281232002	Vascular structure of head and/or neck (body structure)	Vascular structure of head and/or neck
91689009	Body system structure (body structure)	Body system structure
699593001	Structure of thoracic cavity and/or content (body structure)	Structure of thoracic cavity and/or content
118972000	Structure of urinary system subdivision (body structure)	Urinary system subdivision
81040000	Pulmonary artery structure (body structure)	Pulmonary artery structure
304582006	Structure of upper urinary system (body structure)	Structure of upper urinary system
22943007	Trunk structure (body structure)	Trunk structure
59820001	Blood vessel structure (body structure)	Blood vessel structure
818981001	Structure of abdominal cross-sectional segment of trunk (body structure)	Cross-sectional abdomen
91723000	Anatomical structure (body structure)	Anatomical structure
1231522001	Structure of pelvic cross-sectional segment of trunk and/or lower limb (body structure)	Cross-sectional pelvis and/or lower limb
50403003	Structure of cortex of kidney (body structure)	Structure of cortex of kidney
91717005	Organ part (body structure)	Organ part
52530000	Body region structure (body structure)	Body region structure
818985005	Structure of abdominopelvic segment excluding true pelvic segment of trunk (body structure)	Abdomen proper segment of trunk
310887008	Sweat gland bearing skin structure (body structure)	Sweat gland bearing skin
304062003	Structure of intrathoracic blood vessel (body structure)	Structure of intrathoracic blood vessel
82849001	Retroperitoneal compartment structure (body structure)	Retroperitoneal compartment structure
1490004	Structure of soft tissues of trunk (body structure)	Structure of soft tissues of trunk
363536003	Pulmonary structure including vessels and lymphoid tissue (body structure)	Pulmonary structure including vessels and lymphoid tissue
91690000	Entire subdivision of organ system (body structure)	Entire subdivision of organ system
396328009	Integumentary system part (body structure)	Integumentary system part
45308003	Upper genitourinary tract structure (body structure)	Upper genitourinary tract structure
113343008	Body organ structure (body structure)	Body organ structure
714321003	Structure of urinary organ (body structure)	Structure of urinary organ
818982008	Structure of abdominopelvic cross-sectional segment of trunk (body structure)	Abdominopelvic cross-sectional segment
699880003	Structure of genitourinary system subdivision (body structure)	Structure of genitourinary system subdivision
818988007	Intra-abdominopelvic structure excluding intra-pelvic structure of true pelvis (body structure)	Intra-abdominal proper structure
48075008	Structure of integumentary system (body structure)	Structure of integumentary system
113257007	Structure of cardiovascular system (body structure)	Structure of cardiovascular system
306954006	Regional blood vessel structure (body structure)	Regional blood vessel structure
1172989009	Structure of cavity and/or content of pelvis (body structure)	Intra-pelvic structure of pelvis
118633002	Structure of artery of thorax (body structure)	Artery of thorax
826984001	Structure of cavity and/or content of true pelvis (body structure)	Intra-pelvic structure of true pelvis
782966009	Structure of artery of pulmonary circulation (body structure)	Structure of artery of pulmonary circulation
363529004	Structure of layer of kidney (body structure)	Structure of layer of kidney
818983003	Structure of abdominopelvic cavity and/or content of abdominopelvic cavity and/or anterior abdominal wall (body structure)	Abdomen
67734004	Structure of thoracic segment of trunk (body structure)	Thoracic segment of trunk
714488006	Structure of subdivision of organ system (body structure)	Structure of subdivision of organ system
